Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average resolution time following 'Accepted + Wait - Implementation',The average of the duration between activity Accepted + Wait - Implementation and the end of the case,""17 days, 8:00:03.150121"","
"Average time from 'Accepted + Wait - Implementation' to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + In Call',""2 days, 3:44:12.571429"","
"Total time spent in 'Accepted + Wait - Implementation' across all cases,The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,""7158 days, 16:21:41"","
"Average time from 'Accepted + Wait - Implementation' to 'Completed + Resolved',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""13 days, 23:55:55.662531"","
Minimum time from 'Accepted + Wait - Implementation' to 'Completed + Closed',The minimum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Closed',3:55:45,
"Average time from 'Accepted + In Progress' to 'Accepted + Wait - Implementation',The average of the duration between activity 'Accepted + In Progress' and activity 'Accepted + Wait - Implementation',""11 days, 23:31:57.208738"","
"Total time from 'Accepted + Wait - Implementation' to the next activity,The sum of the duration between activity Accepted + Wait - Implementation and the end of the case,""7158 days, 16:21:41"","
Minimum resolution time of 'Accepted + Wait - Implementation' before reaching 'Completed + In Call',The minimum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + In Call',1:17:29,
"Average time it takes to resolve an incident after 'Accepted + Wait - Implementation',The average of the duration between activity 'Accepted + Wait - Implementation' and the end of case where activity 'Completed + Resolved occurs,""17 days, 16:45:21.091811"","
Minimum time from 'Accepted + Wait - Implementation' to 'Accepted + In Progress',The minimum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + In Progress',0:01:09,
"Average time between 'Accepted + Wait - Implementation' and 'Queued + Awaiting Assignment',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Queued + Awaiting Assignment',""12 days, 6:52:41.111111"","
"Total time it takes 'Accepted + Wait - Implementation' to be followed by 'Completed + Resolved',The sum of the duration between activity 'Accepted + Wait - Implementation' and activity 'Completed + Resolved',""5640 days, 20:38:52"","
"Average duration of 'Accepted + Wait - Implementation' in comparison to 'Accepted + Wait - User',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Wait - User',""8 days, 11:52:23.026144"","
"Total duration of 'Accepted + Wait - Implementation' before reaching any 'Completed' status,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - Implementation'"""", 'end': '', 'aggregation': 'total', 'filter': """"activity == 'Completed + Resolved' or activity == 'Completed + Closed' or activity == 'Completed + In Call'""""}"",,"
"Average time from 'Accepted + Wait - Implementation' to 'Accepted + Assigned',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Assigned',""10 days, 13:47:45.270833"","
"Minimum time for 'Accepted + Wait - Implementation' to transition to any 'Completed' status,""ERROR: computing metric {'begin': """"activity == 'Accepted + Wait - Implementation'"""", 'end': '', 'aggregation': 'minimum', 'filter': """"activity == 'Completed + Resolved' or activity == 'Completed + Closed' or activity == 'Completed + In Call'""""}"",,"
"Average time from 'Accepted + Wait - Implementation' to 'Accepted + Wait - Vendor',The average of the duration between activity 'Accepted + Wait - Implementation' and activity 'Accepted + Wait - Vendor',""12 days, 2:40:24.388889"","
