Name;Metric;Value;Agrupation;Colonna77
;ERROR: computing metric {};;;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration APPROVED by PRE_APPROVER;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';2 days 09:29:05.653153;;A
Average time between Declaration APPROVED by PRE_APPROVER and Declaration FINAL_APPROVED by SUPERVISOR;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';2 days 17:55:44.241327;;A
Average resolution time for Declaration APPROVED by PRE_APPROVER;The average of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;9 days 23:07:31.957958;;B
Total time from Declaration SUBMITTED by EMPLOYEE to Declaration APPROVED by PRE_APPROVER across all cases;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';1595 days 04:56:45;;A
Total time between Declaration APPROVED by PRE_APPROVER and Declaration FINAL_APPROVED by SUPERVISOR;The sum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';1821 days 06:53:52;;A
Minimum time from Declaration SUBMITTED by EMPLOYEE to Declaration APPROVED by PRE_APPROVER;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';0 days 00:00:01;;A
Minimum time between Declaration APPROVED by PRE_APPROVER and Declaration FINAL_APPROVED by SUPERVISOR;The minimum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';0 days 00:00:26;;A
Average time from Declaration APPROVED by PRE_APPROVER to Request Payment;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Request Payment';6 days 06:45:13.804545;;A
Total resolution time of cases involving Declaration APPROVED by PRE_APPROVER;The sum of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;6635 days 17:36:44;;B
Minimum resolution time of cases involving Declaration APPROVED by PRE_APPROVER;The minimum of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;2 days 03:28:42;;B
Average time from Declaration APPROVED by PRE_APPROVER to Payment Handled;The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Payment Handled';9 days 23:37:34.222727;;A
Total time from Declaration APPROVED by PRE_APPROVER to Payment Handled across all cases;The sum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Payment Handled';6589 days 17:16:27;;A
Minimum time from Declaration APPROVED by PRE_APPROVER to Payment Handled;The minimum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Payment Handled';2 days 03:28:42;;A
Average time for processing Declaration APPROVED by PRE_APPROVER in cases where the next step is Declaration FINAL_APPROVED by SUPERVISOR compared to cases where the next step is Declaration REJECTED by PRE_APPROVER;ERROR: ;;;C
Total time for processing all instances of Declaration APPROVED by PRE_APPROVER before reaching Declaration FINAL_APPROVED by SUPERVISOR;The sum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';1821 days 06:53:52;;B
Average time to reach Declaration APPROVED by PRE_APPROVER from the start of the case;The average of the duration between the start of the case and activity 'Declaration APPROVED by PRE_APPROVER';2 days 09:29:05.653153;;A
Total time to reach Declaration APPROVED by PRE_APPROVER from the start of the case across all cases;The sum of the duration between the start of the case and activity 'Declaration APPROVED by PRE_APPROVER';1595 days 04:56:45;;A
Minimum time to reach Declaration APPROVED by PRE_APPROVER from the start of the case;The minimum of the duration between the start of the case and activity 'Declaration APPROVED by PRE_APPROVER';0 days 00:00:01;;A
Average time from Declaration APPROVED by PRE_APPROVER to the end of the case;The average of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;9 days 23:07:31.957958;;A
Total time from Declaration APPROVED by PRE_APPROVER to the end of the case across all cases;The sum of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;6635 days 17:36:44;;A
Minimum time from Declaration APPROVED by PRE_APPROVER to the end of the case;The minimum of the duration between activity Declaration APPROVED by PRE_APPROVER and the end of the case;2 days 03:28:42;;A
