Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
"Average time from Manuscript Export Succeeded to SW-Reviewer Agreed,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Reviewer Agreed',""29 days, 6:13:33.976744"","
"Total time from Manuscript Export Succeeded to First Look Manuscript Submission Confirmation,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'First Look Manuscript Submission Confirmation',""4459 days, 18:44:13"","
Minimum time from Manuscript Export Succeeded to Plagiarism Originality Report Completed,The minimum of the duration between activity 'Manuscript Export Succeeded' and activity 'Plagiarism Originality Report Completed',0:09:02,
"Average time for Manuscript Export Succeeded to be completed after Original Manuscript Submission Confirmation,The average of the duration between activity 'Original Manuscript Submission Confirmation' and activity 'Manuscript Export Succeeded',""74 days, 15:52:58.430233"","
"Total resolution time of Manuscript Export Succeeded for each case:concept:name,""ERROR: computing metric {'begin': """"activity == 'Manuscript Export Succeeded'"""", 'end': '', 'aggregation': 'total', 'group_by': 'case:concept:name'}"",,"
Minimum time until Manuscript Export Succeeded after SW-Awaiting Checklist Completion,The minimum of the duration between activity 'SW-Awaiting Checklist Completion' and activity 'Manuscript Export Succeeded',0:00:08,
"Average time it takes from Manuscript Export Succeeded to SW-AE Assign Reviewers,The average of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-AE Assign Reviewers',""28 days, 17:27:04.046512"","
"Total time it takes Manuscript Export Succeeded to reach SW-Awaiting EIC Decision,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'SW-Awaiting EIC Decision',""3857 days, 17:59:36"","
"Average waiting time to Manuscript Export Succeeded after Co-Author Account Created During Manuscript Submission,The average of the duration between activity 'Co-Author Account Created During Manuscript Submission' and activity 'Manuscript Export Succeeded',""102 days, 11:18:29.640000"","
Minimum resolution time of Manuscript Export Succeeded across all cases,The minimum of the duration between activity Manuscript Export Succeeded and the end of the case,3:14:28,
"Time from Manuscript Export Succeeded to Revised Manuscript Submission Confirmation,The sum of the duration between activity 'Manuscript Export Succeeded' and activity 'Revised Manuscript Submission Confirmation',""3483 days, 17:08:29"","
"Total time for Manuscript Export Succeeded across all variants,The sum of the duration between activity Manuscript Export Succeeded and the end of the case,""9239 days, 10:10:57"","
